"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","COMMENT_TS","COMMENT_OBS","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","KEN","AG_SD_HH_PD","_Z","_Z","_Z","PT","_Z","_Z","_Z","2016","30.6950256689596","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2015–2016","Number of Households: 10772","0","A","PU","Annual","Kenya","Average Sold Percentage of Household Agricultural Production","Not applicable","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MLI","AG_SD_HH_PD","_Z","_Z","_Z","PT","_Z","_Z","_Z","2022","81.8685939929953","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 977","0","A","PU","Annual","Mali","Average Sold Percentage of Household Agricultural Production","Not applicable","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NER","AG_SD_HH_PD","_Z","_Z","_Z","PT","_Z","_Z","_Z","2014","9.74361281400899","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2014","Number of Households: 3437","0","A","PU","Annual","Niger","Average Sold Percentage of Household Agricultural Production","Not applicable","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SEN","AG_SD_HH_PD","_Z","_Z","_Z","PT","_Z","_Z","_Z","2022","34.313241680949","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 2121","0","A","PU","Annual","Senegal","Average Sold Percentage of Household Agricultural Production","Not applicable","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TGO","AG_SD_HH_PD","_Z","_Z","_Z","PT","_Z","_Z","_Z","2022","46.6842645923935","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 3596","0","A","PU","Annual","Togo","Average Sold Percentage of Household Agricultural Production","Not applicable","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","_T","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2024","35.7241852860468","_Z","NUMBER","2","WB_AGCI","602","Survey year range: nan","Number of Households: 111637","0","A","PU","Annual","Overall","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AGO","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2018","16.9100083633756","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2018","Number of Households: 1060","0","A","PU","Annual","Angola","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BEN","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2024","53.7925956713085","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021-22","Number of Households: 3687","0","A","PU","Annual","Benin","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BFA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2019","64.0740832815413","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2018–2019","Number of Households: 4359","0","A","PU","Annual","Burkina Faso","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BWA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2016","1.83168718836973","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2015–2016","Number of Households: 780","0","A","PU","Annual","Botswana","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","CIV","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","26.070899469128","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 7566","0","A","PU","Annual","Côte d’Ivoire","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","COM","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2004","0.898587933247754","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2004","Number of Households: 779","0","A","PU","Annual","Comoros","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","DJI","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2017","6.47847102216412","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2017","Number of Households: 124","0","A","PU","Annual","Djibouti","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ETH","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","69.3714898568545","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 1545","0","A","PU","Annual","Ethiopia","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","GHA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2019","31.7329825715225","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2018–2019","Number of Households: 3041","0","A","PU","Annual","Ghana","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","GIN","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2018","14.9109669486663","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2018","Number of Households: 3187","0","A","PU","Annual","Guinea","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","GMB","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2015","47.8093478868473","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2015","Number of Households: 9869","0","A","PU","Annual","Gambia, The","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","GNB","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","7.2668295231968","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 3579","0","A","PU","Annual","Guinea-Bissau","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","KEN","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2016","50.4968660505575","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2015–2016","Number of Households: 11581","0","A","PU","Annual","Kenya","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","LBR","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2016","3.0891744275048","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2016","Number of Households: 3240","0","A","PU","Annual","Liberia","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
